title,id
Mental Note Vol. 24,3054
Your Brain On Coronavirus,3055
Mind Your Nose,3056
The 4 Purposes of Dreams,3057
Surviving a Rod Through the Head,3058
"Mentally, Young Adults Are Suffering Most From COVID",3059
How to Turn Your Popular Blog Series Into a Bestselling Book,3060
Dr Faisal Dar — Pioneer of Liver Transplantation in Pakistan,3061
Sunlight — The Natural Supplement For Our Mental Health,3062
Occam’s dice,3063
"To Quickly Build Trust, Tell Your Origin Story",3064
Four Exercises to Strengthen Your Writing,3065
Facing Three Fundamental Coronavirus Fears,3066
"For Creatives, Silence Isn’t Always Golden",3067
This 10-Minute Routine Will Increase Your Clarity And Creativity,3068
The Ted Talk That Changed My Life,3069
How to Make Your Day Job Support Your Art,3070
Exploring New York City Restaurants,3071
"A Social Worker Offered Mormon Lingo to Me When I Was in Crisis, Told Me to Think Happy Thoughts, and Hung Up on Me — While I Was Still in Crisis",3072
An Effective Five-Step Process for Writing Captivating Headlines,3073
Loss Aversion — how fear influences customer choice,3074
The FDA Banned These Chemicals — and They’re Still Everywhere,3075
Can This Toxic Question Please Just Go Away?,3076
This is sloppy and hides intent if you ever reference it more,3077
"Don’t Be a Writer, Be an Entrepreneur Who Writes",3078
What Should Systems Neuroscience Do Next? Voltage Imaging,3079
Why Writing Online Is Different,3080
Your Brand is What People Expect From You,3081
The Only Book About Writing You’ll Ever Need,3082
Brick by Brick: Build a multi-page dashboard,3083
Tech Execs Face Congress: 9 Big Takeaways,3084
How to Be Productive and Creative in Times of Panic,3085
Quora Overview,3086
The Simple Formula For Becoming A Better Writer,3087
AI creating Human-Looking Images and Tracking Artificial Intelligence Programs in 2020,3088
Evolution doesn’t give a damn what you think a brain region is called,3089
"Is It Fear You Feel, Or Anxiety?",3090
Avoid Clickbait: Headline Techniques Used by Six Reputable Media Sites,3091
"How a Single Medium Article Received 100,000 Views",3092
A Marketing Guide for Introverts,3093
How to Add Upscribe Forms to Your Medium Posts,3094
The Power of Sleep in Learning: Mind-Blowing Science,3095
AI analyzes language to predict schizophrenia,3096
Should You Stay In Your Lane as a Writer?,3097
3 Marketing Strategies That Can Work Like Magic,3098
How The Media Can Prevent Copycat Suicides,3099
Thoughts on a medical mystery,3100
All the Love you do not see,3101
Allow Yourself To Be Creative,3102
How To Rewire Your Brain To Succeed During Uncertain Times,3103
Founders’ silent struggle — The biggest needs (Part 7),3104
Walking Is Underrated: The Unappreciated Complexity and Power of Walking,3105
"House Reports Claims Anticompetitive Behavior by Apple, Amazon, Google, and Facebook",3106
The Sustainable Element-Technology Nexus that has Great Potential,3107
How To Write a Powerful Piece of Content in One Hour,3108
2 Habits That Underrate Your Voice’s Influence,3109
Food Cravings: Microscopic Puppetmasters Might Be Involved,3110
AI Diagnoses Alzheimer’s With More Than 95% Accuracy,3111
A not entirely serious future history of neuroscience,3112
The 3 Best Ways to Respond to Negative Comments on Your Articles,3113
How to Escape a Writers Slump in The Easiest Way Possible,3114
How Antibiotics Could Alter the Child’s Mind and Body Development,3115
2019: a lightly bamboozled review of the year in neuroscience,3116
Your Thoughts Are Not Original,3117
How a 77-Year-Old Theory Can Help You Write Wonderful Headlines,3118
Exploring Your Mobile App Business Idea,3119
How To Make Your Writing More Engaging,3120
How Much Sleep Do You Need?,3121
"Mind Management, Not Time Management now available for pre-order",3122
Predicting The Protein Structures Using AI,3123
NEXT 2018 — Google crossing the cloud chasm?,3124
Do Headlines Really Make a Difference?,3125
Unleash the Potential of AI in Circular Economy: Businesses Potentials,3126
How to Write Something People Will Actually Read,3127
What It’s Like to Have an ADHD Brain,3128
Four Reasons You Won’t Make It as a Professional Writer,3129
5 Tactics to Keep Writing when No One is Reading Your Work,3130
